index,u,x,y,z,rx,ry,rz
0,0.000000,0.58749938,0.40000000,0.53949995,3.14158147,-0.00000374,1.57077808
1,0.012500,0.58749938,0.39000000,0.53949995,3.14158147,-0.00000374,1.57077808
2,0.025000,0.58749938,0.38000000,0.53949995,3.14158147,-0.00000374,1.57077808
3,0.037500,0.58749938,0.37000000,0.53949995,3.14158147,-0.00000374,1.57077808
4,0.050000,0.58749938,0.36000000,0.53949995,3.14158147,-0.00000374,1.57077808
5,0.062500,0.58749938,0.35000000,0.53949995,3.14158147,-0.00000374,1.57077808
6,0.075000,0.58749938,0.34000000,0.53949995,3.14158147,-0.00000374,1.57077808
7,0.087500,0.58749938,0.33000000,0.53949995,3.14158147,-0.00000374,1.57077808
8,0.100000,0.58749938,0.32000000,0.53949995,3.14158147,-0.00000374,1.57077808
9,0.112500,0.58749938,0.31000000,0.53949995,3.14158147,-0.00000374,1.57077808
10,0.125000,0.58749938,0.30000000,0.53949995,3.14158147,-0.00000374,1.57077808
11,0.137500,0.58749938,0.29000000,0.53949995,3.14158147,-0.00000374,1.57077808
12,0.150000,0.58749938,0.28000000,0.53949995,3.14158147,-0.00000374,1.57077808
13,0.162500,0.58749938,0.27000000,0.53949995,3.14158147,-0.00000374,1.57077808
14,0.175000,0.58749938,0.26000000,0.53949995,3.14158147,-0.00000374,1.57077808
15,0.187500,0.58749938,0.25000000,0.53949995,3.14158147,-0.00000374,1.57077808
16,0.200000,0.58749938,0.24000000,0.53949995,3.14158147,-0.00000374,1.57077808
17,0.212500,0.58749938,0.23000000,0.53949995,3.14158147,-0.00000374,1.57077808
18,0.225000,0.58749938,0.22000000,0.53949995,3.14158147,-0.00000374,1.57077808
19,0.237500,0.58749938,0.21000000,0.53949995,3.14158147,-0.00000374,1.57077808
20,0.250000,0.58749938,0.20000000,0.53949995,3.14158147,-0.00000374,1.57077808
21,0.262500,0.58749938,0.19000000,0.53949995,3.14158147,-0.00000374,1.57077808
22,0.275000,0.58749938,0.18000000,0.53949995,3.14158147,-0.00000374,1.57077808
23,0.287500,0.58749938,0.17000000,0.53949995,3.14158147,-0.00000374,1.57077808
24,0.300000,0.58749938,0.16000000,0.53949995,3.14158147,-0.00000374,1.57077808
25,0.312500,0.58749938,0.15000000,0.53949995,3.14158147,-0.00000374,1.57077808
26,0.325000,0.58749938,0.14000000,0.53949995,3.14158147,-0.00000374,1.57077808
27,0.337500,0.58749938,0.13000000,0.53949995,3.14158147,-0.00000374,1.57077808
